latency,CC_LEFT,CC_RIGHT,CF_LEFT,CF_RIGHT,FC_LEFT,FC_RIGHT,FF_LEFT,FF_RIGHT,HC_LEFT,HC_RIGHT,HF_LEFT,HF_RIGHT,EE_LEFT,EE_RIGHT,EF_LEFT,EF_RIGHT,FE_LEFT,FE_RIGHT,HE_LEFT,HE_RIGHT
26,-0.343062003453573,-0.151156266530355,-0.299927274386088,0.0609577496846517,-0.743275006612142,-0.685139020284017,-0.736306508382161,-0.710904041926066,-0.730981826782227,-0.485764463742574,-0.992579857508338,-1.01952636241913,0.304828365643819,0.008515278498332,0.27772311369578,-0.116397539774577,-0.552960594495138,-0.817085107167562,-0.809814989566803,-0.702151497205098
28,-0.408416350682576,-0.183130145072937,-0.364237904548645,0.036153435707092,-0.779366175333659,-0.714855114618937,-0.779651880264282,-0.719646294911702,-0.765112678209941,-0.509808500607808,-1.05070475737254,-1.0614732503891,0.275518695513407,-0.003751516342163,0.268592317899068,-0.126591205596924,-0.622896114985148,-0.870318094889323,-0.878048241138458,-0.738290707270304
30,-0.476676225662231,-0.22353442509969,-0.440868933995565,0.00371905167897534,-0.813440958658854,-0.740252733230591,-0.825046221415202,-0.726959149042765,-0.806154092152913,-0.539156039555867,-1.10051484902699,-1.10363694032033,0.236121416091919,-0.0240383942921957,0.247615257898967,-0.132518887519836,-0.692615032196045,-0.922631502151489,-0.953359623750051,-0.777776718139648
32,-0.544991811116537,-0.270738959312439,-0.527765234311422,-0.0351266860961913,-0.846832116444906,-0.762021462122599,-0.871813853581746,-0.735091765721639,-0.854118506113688,-0.573992808659871,-1.14451456069946,-1.1442037820816,0.187009572982788,-0.0517841180165607,0.213380416234334,-0.136454304059346,-0.76106071472168,-0.973402500152585,-1.03427080313364,-0.820000290870666
34,-0.610741217931112,-0.322774410247803,-0.621025005976359,-0.080173174540202,-0.878291765848796,-0.779825687408447,-0.919014533360796,-0.746080557505289,-0.908699512481689,-0.614104708035787,-1.1826223929723,-1.18134454886118,0.13324499130249,-0.083154320716858,0.165424346923828,-0.140572985013326,-0.827351172765094,-1.02226591110229,-1.12018517653147,-0.863748153050741
36,-0.671571771303813,-0.376982847849528,-0.714396476745606,-0.127182006835938,-0.911370356877645,-0.794521331787109,-0.965064287185667,-0.760831435521444,-0.968500773111978,-0.65865425268809,-1.21906455357869,-1.21401250362396,0.0758182207743323,-0.116371989250183,0.104456146558126,-0.146919369697571,-0.890918771425882,-1.06892617543538,-1.20720632870991,-0.903144121170043
38,-0.725682417551676,-0.430440584818522,-0.804662704467774,-0.177424391110738,-0.94502568244934,-0.805765946706136,-1.00994634628295,-0.781468073527018,-1.03360605239868,-0.707235733668009,-1.25627851486205,-1.24107539653777,0.0169073343276977,-0.148672223091126,0.032057205835978,-0.156460285186768,-0.951790372530619,-1.11503903071085,-1.2960500717163,-0.941547393798826
40,-0.7715394894282,-0.480447332064311,-0.887358427047728,-0.228492617607116,-0.98061728477478,-0.81473437945048,-1.05134646097819,-0.807932138442993,-1.101567029953,-0.758296688397725,-1.29353336493174,-1.26266038417815,-0.0416503747304283,-0.177504698435465,-0.0489927132924397,-0.170217633247375,-1.01004087924957,-1.15842485427856,-1.38410739103952,-0.976917028427119
42,-0.80901046593984,-0.524669289588928,-0.958460410435992,-0.279260357220968,-1.01856843630472,-0.821683247884115,-1.08941356341044,-0.839584747950236,-1.17041985193888,-0.810388008753458,-1.33403746287028,-1.2792291243871,-0.0987021923065183,-0.200916767120361,-0.135297139485677,-0.188425183296204,-1.06397108236949,-1.20001451174418,-1.46967097123463,-1.00957993666331
44,-0.838431795438129,-0.56109873453776,-1.01518909136454,-0.329069455464681,-1.05893476804097,-0.8271857102712,-1.12275036176045,-0.87517237663269,-1.23798068364461,-0.861999750137329,-1.3788761695226,-1.29221769173939,-0.153568387031555,-0.216873606046041,-0.222978671391805,-0.21088457107544,-1.1147475639979,-1.24140326182047,-1.5514957110087,-1.04114079475402
